OBJECTID,GIS_ID,NBHD,NBHD_NUM,NBHD_TEXT,NEIGHBORHO,DESCRIPTIO,LABELB,Shape_Length,Shape_Area,OBJECTID_1,Shape_Leng,Shape_Length0,Shape_Area0,NHDLINK
1,nhood_001,001,1,1,,,,7009.78856668489,2628446.97965961,1,7009.78873017,7009.78857675925,2628446.97618552,
2,nhood_002,002,2,2,,,,7958.27483366859,1629650.61300896,2,7958.27475371,7958.27484375723,1629650.6154009,
3,nhood_003,003,3,3,,,,8701.77061784543,1409501.67832355,3,9196.3120817,8701.77064613207,1409501.67900216,
4,nhood_004,004,4,4,,,,5351.09764274095,1450748.57600654,4,5351.09761788,5351.09762992688,1450748.57577683,
5,nhood_005,005,5,5,,,,7746.49541214688,3249142.84978085,5,7746.49525493,7746.49541079932,3249142.84769336,
6,nhood_006,006,6,6,,,,9375.46444801604,3187836.66571453,6,9375.46429858,9375.46446379953,3187836.66762734,
7,nhood_007,007,7,7,,,,14429.3649935316,9753623.3775153,7,14429.7404603,14429.3649483768,9753623.38065531,
8,nhood_008,008,8,8,,,,3264.76139446013,469626.273072566,8,3264.76144389,3264.76139644423,469626.269698011,
9,nhood_009,009,9,9,,,,6312.0666172948,1777973.09147596,9,6312.0666069,6312.06659774552,1777973.08789271,
10,nhood_010a,010a,10,10a,,,,7174.75980369662,2164743.47749111,10,7174.75984527,7174.75978997482,2164743.47819014,
11,nhood_010b,010b,10,10b,,,,5714.45606177725,1420909.77245809,11,5714.4558226,5714.45606795439,1420909.77206027,
12,nhood_011,011,11,11,,,,10800.0707147013,5301104.38854635,12,10800.0704578,10800.0706874707,5301104.38649776,
13,nhood_012,012,12,12,,,,5528.27936086103,1132616.53587768,13,5528.27947477,5528.27934860744,1132616.53666906,
14,nhood_013,013,13,13,,,,7196.44795677997,2002297.65617977,14,7196.44804326,7196.44794082472,2002297.65458432,
15,nhood_014,014,14,14,,,,5068.66989003146,1032913.57005066,15,4951.17129711,5068.66986728705,1032913.57139532,
16,nhood_015,015,15,15,,,,9367.06540084013,3572189.33856636,16,9799.47102879,9367.06541434197,3572189.33862702,
18,nhood_017,017,17,17,,,,4860.23620823492,987825.568471498,17,4860.2362221,4860.23620965442,987825.566435159,
19,nhood_018,018,18,18,,,,11309.6446086112,5768490.66442478,18,11309.6447314,11309.6446097357,5768490.66586072,
20,nhood_019,019,19,19,,,,4970.73115940085,1059827.9515321,19,4970.73124798,4970.73116588718,1059827.9522299,
21,nhood_020,020,20,20,,,,5306.03222960823,1595059.93060224,20,5306.0320399,5306.03222087635,1595059.93099927,
22,nhood_021,021,21,21,,,,8458.84029923074,2565544.16579566,21,8458.84017754,8458.8403129787,2565544.16729838,
23,nhood_022,022,22,22,,,,11878.2200091031,4954769.68967042,22,11878.2201845,11878.2200085737,4954769.68989043,
24,nhood_023,023,23,23,,,,1924.20352632814,191365.242616101,23,1924.203365,1924.20353226279,191365.242397667,
25,nhood_024,024,24,24,,,,4084.24633246856,537024.911572595,24,4084.24616289,4084.2463242469,537024.912124367,
26,nhood_025,025,25,25,,,,8995.68403425432,2529403.37540442,25,8995.68360203,8995.68401436587,2529403.37760079,
27,nhood_026,026,26,26,,,,4095.38651279406,805815.899242891,26,4095.38626962,4095.38648659106,805815.900898417,
28,nhood_027,027,27,27,,,,2948.88151639608,423944.984508307,27,2948.88148273,2948.88149982933,423944.983152955,
29,nhood_028,028,28,28,,,,10943.0473544498,4896702.53224286,28,10943.0472702,10943.0473222504,4896702.52774962,
30,nhood_029,029,29,29,,,,4652.63845982586,1052281.01612033,29,4652.63842909,4652.63846851871,1052281.01566769,
31,nhood_030,030,30,30,,,,5164.88766006309,1112909.56543278,30,5164.88779797,5164.88765645944,1112909.56711678,
32,nhood_031,031,31,31,,,,3759.77392962606,668298.24352668,31,3536.38928205,3759.77392506136,668298.243693991,
33,nhood_032,032,32,32,,,,10219.3816904603,2175828.38017282,32,10523.8059302,10219.381705172,2175828.38049918,
34,nhood_033,033,33,33,,,,4968.24548939909,1213393.89260981,33,4968.24551588,4968.24548291784,1213393.88927576,
35,nhood_034,034,34,34,,,,5754.65906132008,888971.923544185,34,5754.65902862,5754.65907012756,888971.922644218,
36,nhood_035,035,35,35,,,,4866.50896853199,869408.638144193,35,4866.50888238,4866.50896685526,869408.639039968,
37,nhood_036,036,36,36,,,,6981.33297057527,1419065.07495376,36,6981.3325819,6981.33298236495,1419065.07632461,
38,nhood_037,037,37,37,,,,4878.56774607406,1248889.25033103,37,4878.56779082,4878.56774251551,1248889.25030182,
39,nhood_038,038,38,38,,,,6866.41527160204,1481045.97629728,38,6866.41513983,6866.41525987225,1481045.9764139,
40,nhood_039,039,39,39,,,,19831.3034665463,7135745.0382427,39,21523.1815651,19831.3034806236,7135745.04122201,
41,nhood_040,040,40,40,,,,9758.17452667418,4545339.98121588,40,10121.9144599,9758.17451226871,4545339.98074612,
42,nhood_041,041,41,41,,,,10691.2341952587,1647618.95428076,41,10691.2342956,10691.2341964368,1647618.95336182,
43,nhood_042,042,42,42,,,,7974.95689010294,3155593.35939583,42,8043.76549194,7974.95688855327,3155593.35674058,
44,nhood_043,043,43,43,,,,14784.2463454966,4854056.76426008,43,14138.8057697,14784.2463939797,4854056.76547228,
45,nhood_044,044,44,44,,,,3243.18978609991,477277.65983797,44,2723.48965351,3243.18978813902,477277.661209667,
47,nhood_046,046,46,46,,,,7043.89526866189,2283541.41607107,45,7043.89509745,7043.8952575077,2283541.41216177,
48,nhood_047,047,47,47,,,,7128.42127618329,1820833.81175289,46,7128.42124113,7128.42127037751,1820833.81458381,
49,nhood_048,048,48,48,,,,5393.17442999151,1511137.4324141,47,5393.17451067,5393.1744369637,1511137.43232652,
50,nhood_049,049,49,49,,,,7034.61557594191,1874347.2547896,48,7034.61559726,7034.61555506228,1874347.25675804,
51,nhood_050,050,50,50,,,,6634.37962592067,2456424.11641602,49,6634.3796322,6634.37962338811,2456424.11556954,
52,nhood_051,051,51,51,,,,6050.01883791859,827718.420063802,50,6050.01914311,6050.01881631798,827718.423631655,
53,nhood_052,052,52,52,,,,6508.19338624647,1917607.29451524,51,6508.19335923,6508.19338678756,1917607.29371738,
54,nhood_053,053,53,53,,,,3123.88631453675,456085.846618951,52,3123.88621286,3123.88628848327,456085.846984212,
55,nhood_054,054,54,54,,,,4252.28657226173,959132.991532462,53,4252.28664776,4252.28654510962,959132.990194118,
56,nhood_055,055,55,55,,,,2590.58664323943,262714.491217798,54,2590.58656626,2590.58663373413,262714.492195481,
57,nhood_056,056,56,56,,,,11014.6391499441,4237704.38260939,55,11493.3158696,11014.6391536391,4237704.38053642,
58,nhood_060,060,60,60,,,,19319.5981411302,7088721.02347104,56,19202.1038835,19319.5981276775,7088721.02321543,
59,nhood_062,062,62,62,,,,9008.37387673324,476743.941430552,57,9008.37370855,9008.37391638765,476743.93994491,
60,nhood_063,063,63,63,,,,15415.8027545438,4105006.84161067,58,15720.2272558,15415.8027803953,4105006.84573454,
61,nhood_064,064,64,64,,,,6346.23914351302,640354.575356526,59,6346.23948795,6346.2391188364,640354.575561534,
62,nhood_065,065,65,65,,,,8190.77485077383,2361095.45030935,60,8190.77493839,8190.77486092407,2361095.45314893,
63,nhood_066,066,66,66,,,,5299.19190871014,1305705.00782441,61,5777.86870963,5299.19191428499,1305705.0061122,
64,nhood_068,068,68,68,,,,16798.1262652819,5285748.09929591,62,17528.4727359,16798.1262416674,5285748.10184211,
65,nhood_069,069,69,69,,,,8895.83620208755,2299122.5890685,63,8895.83601521,8895.83618918221,2299122.58801024,
66,nhood_072,072,72,72,,,,21713.2472883061,5236655.67240908,64,21713.2466705,21713.2472659816,5236655.6756357,
67,nhood_073,073,73,73,,,,4083.18392543015,575356.937872087,65,4083.18399932,4083.1839526381,575356.935769544,
68,nhood_074,074,74,74,,,,2986.6544701935,337642.190214214,66,2986.65449377,2986.65448250279,337642.191742215,
69,nhood_101,061,61,61,,,,3781.22191580584,712534.631585486,67,3781.22171462,3781.22194256998,712534.63159871,
70,nhood_102,070,70,70,,,,3004.20386433519,210373.232311389,68,3004.20379229,3004.2038722456,210373.232899854,
71,nhood_103,071,71,71,,,,7867.65974749257,732781.657250337,69,7867.65947381,7867.65975042422,732781.657152997,
72,nhood_104,067,67,67,,,,5668.77007146412,1471197.1837188,70,0,5668.7700969751,1471197.18038258,
73,nhood_105,016,16,16,,,,10582.7122845024,5600785.89119006,71,0,10582.7122755505,5600785.89384435,
